# Rime user dictionary
#@/db_name	wubi98
#@/db_type	userdb
#@/rime_version	1.8.4
#@/tick	8092
#@/user_id	Linux
cetd 	通知	c=2 d=0.848444 t=8092
ceut 	通道	c=2 d=0.317671 t=8092
cexx 	能	c=1 d=0.444858 t=8092
cf 	对	c=3 d=0.378135 t=8092
cfbn 	对了	c=2 d=0.196071 t=8092
cfcc 	圣桑	c=1 d=0.429558 t=8092
cff 	圣	c=1 d=0.384812 t=8092
cffy 	特	c=2 d=0.628065 t=8092
cfgf 	对于	c=7 d=0.701226 t=8092
cfgq 	特殊	c=1 d=0.366045 t=8092
cfhk 	特点	c=1 d=0.412714 t=8092
cfke 	特别	c=3 d=1.66716 t=8092
cfnt 	特性	c=1 d=0.282239 t=8092
cfpg 	特定	c=5 d=1.349 t=8092
cfqc 	特色	c=1 d=0.0761537 t=8092
cfqk 	对象	c=1 d=0.355226 t=8092
cftg 	特征	c=16 d=1.38118 t=8092
cfxx 	对比	c=3 d=0.0224323 t=8092
cfyt 	对话	c=2 d=0.550605 t=8092
cg 	马	c=4 d=0.46526 t=8092
cgfc 	驱动	c=8 d=4.15185 t=8092
cgqy 	驻留	c=1 d=0.254107 t=8092
cgw 	验	c=1 d=0.000750333 t=8092
cgyg 	验证	c=11 d=2.76139 t=8092
ckiy 	台湾	c=1 d=0.451581 t=8092
cm 	观	c=1 d=0.514273 t=8092
cmim 	观测	c=1 d=0.562705 t=8092
cn 	予	c=1 d=0.133321 t=8092
cnh 	巴	c=1 d=0.514273 t=8092
cnhm 	预	c=3 d=0.484489 t=8092
cnim 	预测	c=10 d=0.999738 t=8092
cny 	厶	c=1 d=0.252839 t=8092
conc 	騢	c=1 d=0.371577 t=8092
copi 	遤	c=1 d=0.722527 t=8092
cqyt 	允许	c=1 d=0.980199 t=8092
cwdt 	双人成行	c=1 d=1 t=8092
cykk 	验证器	c=2 d=1.48786 t=8092
d 	在	c=46 d=2.81472 t=8092
da 	左	c=1 d=0.204948 t=8092
dadh 	不式不	c=-5 d=3.55425 t=8092
db 	破	c=2 d=1.39344 t=8092
dcg 	码	c=2 d=1.21331 t=8092
dd 	大	c=3 d=1.77469 t=8092
dddd 	大	c=1 d=0.97531 t=8092
ddfg 	大雨	c=1 d=0.900325 t=8092
ddfg 	硕士	c=1 d=0.860708 t=8092
ddih 	大小	c=6 d=1.34321 t=8092
ddip 	大学	c=1 d=0.218712 t=8092
ddjg 	大量	c=1 d=0.00107546 t=8092
ddm 	硕	c=1 d=0.818731 t=8092
ddqq 	大多	c=1 d=0.0018734 t=8092
ddws 	大体	c=1 d=0.535261 t=8092
debv 	有限	c=2 d=0.868228 t=8092
deep 	有爱	c=5 d=2.57989 t=8092
dekr 	历史	c=1 d=0.0216013 t=8092
dern 	有所	c=1 d=0.145148 t=8092
deur 	有效	c=1 d=0.26982 t=8092
dfi 	奈	c=3 d=0.995336 t=8092
dfxp 	压缩	c=3 d=0.477956 t=8092
dg 	三	c=4 d=2.75189 t=8092
dggc 	感到	c=1 d=0.644036 t=8092
dgiv 	感染	c=2 d=0.44404 t=8092
dgjr 	硬	c=1 d=0.895834 t=8092
dgkn 	感	c=1 d=0.559898 t=8092
dgpw 	研究	c=3 d=0.489339 t=8092
dgtd 	感知	c=1 d=0.000118571 t=8092
dgv 	威	c=1 d=0.135336 t=8092
dgwa 	古代	c=5 d=4.16774 t=8092
dgwh 	三个	c=1 d=0.71177 t=8092
dgws 	三体	c=5 d=1.17865 t=8092
dgww 	古人	c=1 d=0.554327 t=8092
dgxw 	三维	c=2 d=0.19995 t=8092
dhb 	存	c=1 d=0.272532 t=8092
dhce 	不能	c=1 d=0.00021605 t=8092
dhde 	还有	c=2 d=0.27228 t=8092
